"File","Status","Ratio"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\SlaughterDemon\datasets\names\slaughter-names.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\guidebook\chemistry\core.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\container-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\dynamicrule-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\bank-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\clone-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\jobs-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\laws-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\inventory-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\jobboard-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_white\objectives\conditions\steal-target-groups.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\body\commands.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\name-identifier.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\RobustToolbox\Resources\Locale\en-US\controls.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\addaccesslog-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\admins-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\chat\highlights.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\acmd-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\marked-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\tag-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\unpolymorph-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\statuseffect-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\storage-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\datasets\corporations.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\vampires\classes.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\visualize-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\vampires\collective-mind.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\rejuvenate-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\runverbas-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\mind-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\polymorph-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\stationevent-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\stations-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\scale-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\solution-command.ftl","untranslated","0"
"C:\Users\pedel\source\repos\whiskey-station\RobustToolbox\Resources\Locale\en-US\toolshed-commands.ftl","partial","1,42"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\guidebook\entity-effects\effects.ftl","partial","3,08"
"C:\Users\pedel\source\repos\whiskey-station\RobustToolbox\Resources\Locale\en-US\input.ftl","partial","5,62"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\Heretic\chat.ftl","partial","5,71"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\paper\book-dnd.ftl","partial","6,67"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\guidebook\entity-effects\conditions.ftl","partial","7,14"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\supermatter\supermatter.ftl","partial","7,69"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\datasets\names\nukie-behonker.ftl","partial","10"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\durability\durability.ftl","partial","11,11"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\accent\scottish.ftl","partial","12,5"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\Wizard\hulk.ftl","partial","16,67"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\_Pirates\announcements_irs.ftl","partial","16,67"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\datasets\names\goob_generators_names_supermatter_last.ftl","partial","16,67"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\accent\medieval.ftl","partial","17,48"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_units.ftl","partial","17,5"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\datasets\names\military_last.ftl","partial","18,18"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\accent\dwarf.ftl","partial","18,42"
"C:\Users\pedel\source\repos\whiskey-station\RobustToolbox\Resources\Locale\en-US\commands.ftl","partial","19,79"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_lib.ftl","partial","20"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\game-ticking\game-presets\preset-thief.ftl","partial","20"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\datasets\names\goob_generators_names_tesla_last.ftl","partial","20"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\Wizard\spells-actions.ftl","partial","20"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\datasets\names\goob_generators_names_singularity_last.ftl","partial","20"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\GameTicker\gameticker.ftl","partial","20"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Shitmed\wires\wire-names.ftl","partial","20"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\accent\ohio.ftl","partial","20,98"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\datasets\names\syndicate_elite.ftl","partial","21,74"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\markings\moth.ftl","partial","21,95"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\datasets\names\syndicate_normal.ftl","partial","23,08"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\accent\british.ftl","partial","23,14"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\paper\station-report.ftl","partial","25"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\datasets\names\names_tider_first.ftl","partial","25"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\commands\toolshed\xenoartifact-command.ftl","partial","26,67"
"C:\Users\pedel\source\repos\whiskey-station\RobustToolbox\Resources\Locale\en-US\custom-controls.ftl","partial","27,27"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\lathe\lathe-categories.ftl","partial","27,27"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\Wizard\accents.ftl","partial","30,23"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\guidebook\chemistry\conditions.ftl","partial","33,33"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\job\loadouts.ftl","partial","33,33"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\ninja\role.ftl","partial","33,33"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\reagents\generic.ftl","partial","33,33"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\accent\bogan.ftl","partial","34,13"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Goobstation\datasets\names\honkops_names.ftl","partial","35,71"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\markings\gradient.ftl","partial","36,36"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\_Trauma\guidebook\rules.ftl","partial","36,36"
"C:\Users\pedel\source\repos\whiskey-station\Resources\Locale\en-US\datasets\names\cargo_shuttle.ftl","partial","37,5"
